Operator,Variant,BatchSize,Latency(ms),Throughput(GFLOPS),Speedup
GEMM,cuda,128,0.053462,78.45,47.125
GEMM,cuda,256,0.328604,102.11,6.372
GEMM,cuda,512,1.411251,190.21,1.392
GEMM,cuda,1024,7.025550,305.67,0.255
GEMM,cuda,2048,48.824493,351.87,0.041
GEMM,cuda,128,0.013831,303.25,119.790
GEMM,cuda,256,0.143416,233.97,12.113
GEMM,cuda,512,0.878950,305.40,2.124
GEMM,cuda,1024,10.498144,204.56,0.210
GEMM,cuda,2048,57.885357,296.79,0.033
