Operator,Variant,BatchSize,Latency(ms),Throughput(GFLOPS),Speedup
GEMM,cute,128,5.165492,0.81,0.350
GEMM,cute,256,4.065500,8.25,0.449
GEMM,cute,512,11.546421,23.25,0.214
GEMM,cute,1024,4.976884,431.49,0.462
GEMM,cute,2048,5.050244,3401.79,0.485
GEMM,cute,128,5.013103,0.84,0.477
GEMM,cute,256,11.377442,2.95,0.170
GEMM,cute,512,4.882524,54.98,0.435
GEMM,cute,1024,4.792605,448.08,0.470
GEMM,cute,2048,11.275233,1523.68,0.208
